Variable_Name,Sensor,Range_Low,Range_High,Units,Site
TS_1_5_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_6_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_7_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_8_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_9_1,MET_SOIL,-5,60,deg C,OAK_001
SEC_1_1_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_2_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_3_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_4_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_5_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_6_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_7_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_8_1,MET_SOIL,0,10,dS/m,OAK_001
SEC_1_9_1,MET_SOIL,0,10,dS/m,OAK_001
T_SOIL,MET_SOIL,-5,60,deg C,OAK_001
NETRAD,MET_RAD,-200,1000,W m-2,OAK_001
SW_IN,MET_RAD,-20,1200,W m-2,OAK_001
SW_OUT,MET_RAD,-20,300,W m-2,OAK_001
LW_IN,MET_RAD,200,550,W m-2,OAK_001
LW_OUT,MET_RAD,300,650,W m-2,OAK_001
T_CANOPY,Biological,0,50,deg C,OAK_001
BattV,MET_ATM,10,15,V,OAK_001
e_sat_probe,MET_ATM,-1,10,kPa,OAK_001
e_probe,MET_ATM,0,6,kPa,OAK_001
WP,Biological,-30,0,Bar,OAK_001
SPEC_RED_REFL,MET_RAD,0,0.12,index,OAK_001
SPEC_NIR_REFL,MET_RAD,0,0.65,index,OAK_001
NDVI,MET_RAD,0,1,index,OAK_001
ARVI2,MET_RAD,0,1,index,OAK_001
IPVI,MET_RAD,1,5,index,OAK_001
DVI,MET_RAD,0,1,index,OAK_001
SR,MET_RAD,1,20,index,OAK_001
MSR,MET_RAD,1,5,index,OAK_001
